👋,人,手
🦵,人,足
🦶,人,足
👂,人,耳
🦻,人,耳
👃,人,鼻
🧠,人,脳
🫀,人,心臓
🦷,人,歯
🦴,人,骨
👀,人,目
👁️,人,目
👅,人,舌
👄,人,口
👶,人,赤ちゃん
🧒,人,子ども
👦,人,男の子
👧,人,女の子
👨,人,男性
👨‍🦰,人,男性
👨‍🦱,人,男性
👨‍🦳,人,男性
👨‍🦲,人,男性
👩,人,女性
👩‍🦰,人,女性
👩‍🦱,人,女性
👩‍🦳,人,女性
👩‍🦲,人,女性
👱‍♀️,人,女性
👱‍♂️,人,男性
👴,人,おじいさん
👵,人,おばあさん
🧑‍🎓,人,学生
👨‍🎓,人,学生
👩‍🎓,人,学生
🧑‍🏫,人,先生
👨‍🏫,人,先生
👩‍🏫,人,先生
🧑‍⚖️,人,裁判官
👨‍⚖️,人,裁判官
👩‍⚖️,人,裁判官
🧑‍🌾,人,農家
👨‍🌾,人,農家
👩‍🌾,人,農家
🧑‍🍳,人,料理人
👨‍🍳,人,料理人
👩‍🍳,人,料理人
🧑‍🔧,人,整備士
👨‍🔧,人,整備士
👩‍🔧,人,整備士
🧑‍🔬,人,科学者
👨‍🔬,人,科学者
👩‍🔬,人,科学者
🧑‍💻,人,技術者
👨‍💻,人,技術者
👩‍💻,人,技術者
🧑‍🎤,人,歌手
👨‍🎤,人,歌手
👩‍🎤,人,歌手
🧑‍🎨,人,芸術家
👨‍🎨,人,芸術家
👩‍🎨,人,芸術家
🧑‍✈️,人,パイロット
👨‍✈️,人,パイロット
👩‍✈️,人,パイロット
🧑‍🚀,人,宇宙飛行士
👨‍🚀,人,宇宙飛行士
👩‍🚀,人,宇宙飛行士
🧑‍🚒,人,消防士
👨‍🚒,人,消防士
👩‍🚒,人,消防士
👮,人,警察官
👮‍♂️,人,警察官
👮‍♀️,人,警察官
🕵️,人,探偵
🕵️‍♂️,人,探偵
🕵️‍♀️,人,探偵
💂,人,護衛
💂‍♂️,人,護衛
